epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4435,1.25927,5.85415,0.44568,3.04706,1.66257,0.3663,0.42101,0.36971,0.19294,0.26703,0.28315,0.25707,0.07168,1.54555,4.94862,0.11021,2.27877,2.26749,0.000365704,0.000365704,0.000365704
2,85.3245,1.31268,5.52617,0.38128,2.25574,1.66486,0.51369,0.48169,0.49664,0.27665,0.26272,0.30765,0.23594,0.05327,1.4738,5.60059,0.17885,2.11245,2.18964,0.00073458,0.00073458,0.00073458
3,114.54,1.37575,5.69171,0.37775,1.96051,1.70468,0.4848,0.43672,0.51381,0.26616,0.29887,0.21413,0.14518,0.02812,1.52473,5.48695,0.12845,2.04054,2.25289,0.00110199,0.00110199,0.00110199
4,143.129,1.37596,5.85862,0.39536,1.79933,1.70227,0.69306,0.57066,0.65208,0.37911,0.32675,0.22058,0.19316,0.05381,1.42878,5.56268,0.10976,1.60202,2.09863,0.0011044,0.0011044,0.0011044
5,172.122,1.37607,5.85878,0.37286,1.70016,1.6839,0.72344,0.60444,0.72558,0.45225,0.51626,0.35507,0.34261,0.08418,1.29458,4.7589,0.06818,1.46321,2.01043,0.0011022,0.0011022,0.0011022
6,200.774,1.33518,5.55743,0.35662,1.56581,1.63951,0.65201,0.61895,0.69238,0.39842,0.51819,0.37549,0.35203,0.08155,1.40508,4.86384,0.06612,1.53401,2.0045,0.0011,0.0011,0.0011
7,229.342,1.31265,5.52745,0.35856,1.54725,1.6398,0.76009,0.63889,0.72539,0.40794,0.49602,0.38621,0.35555,0.09027,1.42607,4.75116,0.08267,1.35247,2.13585,0.0010978,0.0010978,0.0010978
8,257.68,1.2778,5.37092,0.34684,1.43601,1.5944,0.69711,0.7345,0.80439,0.5218,0.44186,0.48046,0.40874,0.11245,1.20812,4.25529,0.06548,1.23888,1.858,0.0010956,0.0010956,0.0010956
9,286.523,1.27267,5.25477,0.34623,1.43204,1.59076,0.90914,0.7366,0.89101,0.57354,0.7026,0.53111,0.50977,0.13577,1.20934,4.2648,0.07857,1.13203,1.87126,0.0010934,0.0010934,0.0010934
10,315.184,1.25482,5.1827,0.34173,1.36928,1.58041,0.76998,0.72329,0.80062,0.51377,0.53636,0.48374,0.43116,0.12161,1.29983,4.54914,0.07876,1.17415,1.97849,0.0010912,0.0010912,0.0010912
11,343.595,1.26998,5.19128,0.35235,1.3677,1.58551,0.85299,0.78238,0.84543,0.51382,0.67471,0.598,0.54424,0.15564,1.35613,3.9744,0.05898,1.08907,2.00958,0.001089,0.001089,0.001089
12,372.269,1.25983,5.06225,0.32527,1.32059,1.57149,0.81469,0.86176,0.88204,0.58825,0.62036,0.60049,0.5505,0.16381,1.06613,3.89364,0.04462,0.93356,1.71263,0.0010868,0.0010868,0.0010868
13,401.041,1.1715,4.92027,0.32393,1.2465,1.51792,0.76783,0.83841,0.88176,0.56904,0.63436,0.50705,0.48244,0.15403,1.17656,4.20982,0.1337,0.9683,1.83043,0.0010846,0.0010846,0.0010846
14,429.215,1.17348,4.76684,0.31757,1.23479,1.51697,0.77426,0.80609,0.8636,0.56326,0.54085,0.5801,0.51948,0.14002,1.20699,4.31333,0.08541,0.98,1.83169,0.0010824,0.0010824,0.0010824
15,457.894,1.19466,4.76415,0.31927,1.20518,1.5309,0.84778,0.85215,0.89261,0.59357,0.59332,0.57919,0.48643,0.14872,1.12417,4.09761,0.09892,0.90053,1.75004,0.0010802,0.0010802,0.0010802
16,486.458,1.19037,4.78915,0.30315,1.17748,1.5177,0.81395,0.87162,0.89697,0.57686,0.64391,0.61697,0.56237,0.16973,1.2417,4.0604,0.09219,0.98154,1.8558,0.001078,0.001078,0.001078
17,515.279,1.15773,4.67931,0.30965,1.15594,1.49628,0.89238,0.8248,0.88571,0.61854,0.77582,0.70346,0.6636,0.21387,1.06357,3.61987,0.09747,0.95845,1.7007,0.0010758,0.0010758,0.0010758
18,544.113,1.15685,4.62143,0.30827,1.15439,1.50437,0.87739,0.85545,0.90963,0.61393,0.72102,0.64028,0.64005,0.2304,1.18063,3.83255,0.10352,0.90036,1.77931,0.0010736,0.0010736,0.0010736
19,573.585,1.12378,4.54283,0.30994,1.09941,1.47616,0.84183,0.85503,0.90943,0.61757,0.77117,0.68443,0.69552,0.23231,1.13169,3.59003,0.09753,0.90185,1.74709,0.0010714,0.0010714,0.0010714
20,602.925,1.13223,4.40782,0.30016,1.08494,1.48451,0.81434,0.82638,0.86313,0.61762,0.74765,0.71199,0.67123,0.2616,1.03028,3.49192,0.07244,0.9422,1.67402,0.0010692,0.0010692,0.0010692
21,632.572,1.10412,4.33083,0.29581,1.06026,1.46555,0.88187,0.83001,0.91269,0.66844,0.79771,0.77541,0.76862,0.27946,0.97396,3.29304,0.10258,0.80813,1.62628,0.001067,0.001067,0.001067
22,662.239,1.12225,4.38168,0.29934,1.06906,1.47927,0.79846,0.91284,0.94198,0.68185,0.82904,0.71714,0.7553,0.28864,0.99878,3.16004,0.07459,0.77445,1.6401,0.0010648,0.0010648,0.0010648
23,691.888,1.10344,4.29979,0.29017,1.06007,1.45288,0.8705,0.89343,0.91903,0.64977,0.79318,0.78657,0.74849,0.29928,1.04096,3.20488,0.04785,0.76183,1.69152,0.0010626,0.0010626,0.0010626
24,721.146,1.11127,4.18308,0.29405,1.02689,1.47351,0.8974,0.91226,0.94303,0.6833,0.7836,0.76629,0.734,0.27358,1.00156,3.13211,0.04991,0.71443,1.64671,0.00106041,0.00106041,0.00106041
25,750.704,1.08511,4.2585,0.28751,1.00942,1.45339,0.86565,0.91657,0.94872,0.67016,0.78731,0.69916,0.72065,0.26496,1.00822,3.27775,0.04711,0.74503,1.65265,0.00105821,0.00105821,0.00105821
26,780.179,1.06711,4.15882,0.28868,1.00458,1.44384,0.91488,0.90795,0.95293,0.70653,0.83466,0.81633,0.80514,0.3229,0.94687,3.0547,0.04866,0.67051,1.58072,0.00105601,0.00105601,0.00105601
27,809.569,1.07244,4.13055,0.29526,0.98097,1.44442,0.90709,0.8486,0.93789,0.68028,0.85323,0.78441,0.83566,0.34137,0.9911,2.96059,0.06132,0.7985,1.62698,0.00105381,0.00105381,0.00105381
28,837.827,1.07272,4.00932,0.29091,0.98099,1.4359,0.92009,0.84075,0.93231,0.67121,0.8298,0.7538,0.77105,0.27928,0.97089,3.25738,0.05286,0.72417,1.61112,0.00105161,0.00105161,0.00105161
29,868.002,1.07371,3.97184,0.28207,0.99304,1.43822,0.9383,0.92986,0.95576,0.71241,0.85851,0.84295,0.81719,0.29293,0.94335,2.93973,0.0566,0.64619,1.57031,0.00104941,0.00104941,0.00104941
30,897.104,1.06685,4.00559,0.28609,0.9785,1.42782,0.89306,0.90241,0.93846,0.68016,0.83493,0.82823,0.81343,0.31486,1.00811,3.09007,0.05661,0.76487,1.6701,0.00104721,0.00104721,0.00104721
31,925.241,1.05509,3.94486,0.28129,0.94221,1.41197,0.94599,0.91611,0.96605,0.71847,0.88909,0.83677,0.84579,0.33076,0.92878,2.9151,0.04827,0.62024,1.56994,0.00104501,0.00104501,0.00104501
32,954.554,1.03979,3.87536,0.27631,0.91986,1.40582,0.90287,0.96139,0.96139,0.67009,0.83614,0.82196,0.82782,0.3328,1.04659,2.98374,0.03111,0.6492,1.66834,0.00104281,0.00104281,0.00104281
33,983.287,1.02942,3.89157,0.27707,0.92152,1.41165,0.91137,0.90544,0.94583,0.69167,0.84374,0.83281,0.82522,0.33829,0.96526,2.9774,0.07938,0.68877,1.62702,0.00104061,0.00104061,0.00104061
34,1012.14,1.0372,3.85019,0.27904,0.92262,1.40653,0.9456,0.89815,0.96359,0.7326,0.88186,0.83024,0.84519,0.34498,0.92751,2.8197,0.05464,0.62535,1.60317,0.00103841,0.00103841,0.00103841
35,1042.13,1.02988,3.78664,0.27359,0.87832,1.39973,0.96398,0.95212,0.97501,0.72753,0.85864,0.8433,0.81957,0.34763,0.95605,2.96749,0.05493,0.61961,1.56782,0.00103621,0.00103621,0.00103621
36,1071.31,1.01024,3.73118,0.26413,0.90934,1.39427,0.94264,0.92224,0.96835,0.73656,0.83797,0.81718,0.79205,0.34483,0.91876,3.0034,0.04002,0.60338,1.56311,0.00103401,0.00103401,0.00103401
37,1100.69,1.00125,3.6699,0.27344,0.86348,1.3883,0.88905,0.87905,0.91004,0.7116,0.80261,0.76514,0.7171,0.31669,0.87288,3.14162,0.06653,0.73329,1.50853,0.00103181,0.00103181,0.00103181
38,1130,1.03269,3.77488,0.2742,0.88844,1.40227,0.91098,0.88941,0.94269,0.72366,0.83072,0.819,0.80826,0.33521,0.89736,3.22954,0.05009,0.65602,1.56793,0.00102961,0.00102961,0.00102961
39,1159.15,1.00415,3.67603,0.26404,0.86227,1.37908,0.91137,0.91204,0.95231,0.71086,0.85785,0.81978,0.83795,0.37969,0.95507,2.73831,0.04888,0.6631,1.57334,0.00102741,0.00102741,0.00102741
40,1188.6,1.0179,3.64049,0.26157,0.83476,1.38213,0.94691,0.93568,0.96632,0.74073,0.87693,0.87553,0.88618,0.3837,0.92236,2.64766,0.05453,0.56918,1.56223,0.00102521,0.00102521,0.00102521
41,1218.13,1.00461,3.68801,0.26594,0.87164,1.37728,0.92147,0.92442,0.95875,0.68456,0.8376,0.83904,0.83184,0.3737,1.02982,2.85868,0.06806,0.67147,1.66373,0.00102301,0.00102301,0.00102301
42,1247.66,1.00906,3.60095,0.27269,0.8828,1.39963,0.91102,0.91774,0.95787,0.70753,0.85733,0.79925,0.82412,0.372,0.9506,2.66556,0.06177,0.60961,1.59366,0.00102081,0.00102081,0.00102081
43,1277.01,1.00571,3.6045,0.26929,0.85167,1.39063,0.91692,0.92053,0.96588,0.7357,0.79341,0.79392,0.76893,0.34753,0.91422,2.96419,0.04014,0.62513,1.56255,0.00101861,0.00101861,0.00101861
44,1306.59,0.95873,3.55935,0.25597,0.82975,1.34919,0.94893,0.93221,0.96973,0.74843,0.8985,0.8874,0.89614,0.41853,0.88197,2.50628,0.03849,0.57995,1.51196,0.00101641,0.00101641,0.00101641
45,1336.19,0.97929,3.56489,0.25937,0.82501,1.36058,0.90192,0.91204,0.94072,0.72725,0.78829,0.77323,0.73252,0.31724,0.9055,3.34138,0.04936,0.64784,1.55948,0.00101421,0.00101421,0.00101421
46,1365.35,0.99572,3.50336,0.26895,0.81802,1.37916,0.84062,0.91215,0.92448,0.70062,0.792,0.8588,0.85234,0.38085,0.91863,2.6368,0.06878,0.65377,1.5571,0.00101201,0.00101201,0.00101201
47,1394.02,0.99221,3.56649,0.2592,0.82442,1.36553,0.90399,0.88307,0.94214,0.70395,0.81688,0.76557,0.73602,0.32727,0.8933,3.01747,0.06568,0.70353,1.53152,0.00100981,0.00100981,0.00100981
